[1.0, u'procedure case originated']
[0.72499999999999998, u'article convention provides']
[0.57999999999999996, u'certain lapse time']
[0.55000000000000004, u'court called decide']
[0.55000000000000004, u'fell outside strict']
[0.54500000000000004, u'russian federation lodged']
[0.54000000000000004, u'47 art 32']
[0.54000000000000004, u'fall scope article']
[0.54000000000000004, u'periods detention remand']
[0.53000000000000003, u'bulgarian government government']
[0.53000000000000003, u'existence concrete facts']
[0.52500000000000002, u'condition sine qua']
[0.52500000000000002, u'european commission human']
[0.52500000000000002, u'read follows article']
[0.52500000000000002, u'rights building strasbourg']
[0.52500000000000002, u'september 1998 defines']
[0.52000000000000002, u'code criminal procedure']
[0.51500000000000001, u'27 june 1968']
[0.51500000000000001, u'court release ordered']
[0.51500000000000001, u'mr laptev representative']
[0.51000000000000001, u'equality arms parties']
[0.51000000000000001, u'meaning article convention']
[0.51000000000000001, u'poland lodged court']
[0.51000000000000001, u'present case court']
[0.51000000000000001, u'republic turkey lodged']
[0.51000000000000001, u'unjustified deprivation liberty']
[0.505, u'accordance procedure prescribed']
[0.505, u'applicant pre trial']
[0.505, u'ukrainian government government']
[0.5, u'brought promptly judge']
[0.5, u'republic latvia lodged']
[0.5, u'review lawfulness detention']
[0.495, u'000 euros eur']
[0.495, u'allows partial reparation']
[0.495, u'authorising applicant detention']
[0.495, u'conditions essential lawfulness']
[0.495, u'contrary article convention']
[0.495, u'convention russian national']
[0.495, u'existence danger absconding']
[0.495, u'imposing preventive measures']
[0.495, u'originated application republic']
[0.495, u'promptly judge officer']
[0.48999999999999999, u'charged criminal offence']
[0.48499999999999999, u'convention rights child']
[0.48499999999999999, u'freedoms convention ukrainian']
[0.48499999999999999, u'hearing reasonable time']
[0.48499999999999999, u'interference public authority']
[0.48499999999999999, u'manifestly ill founded']
[0.48499999999999999, u'ordered detention lawful']
[0.48499999999999999, u'place national authorities']
[0.47999999999999998, u'applicant government filed']
[0.47999999999999998, u'failure exhaust domestic']
[0.47999999999999998, u'laptev representative russian']
[0.47499999999999998, u'latvian government government']
[0.47499999999999998, u'pecuniary damage costs']
[0.47499999999999998, u'procedure prescribed law']
[0.47499999999999998, u'respect deprivation liberty']
[0.46999999999999997, u'article convention account']
[0.46999999999999997, u'criminal charge entitled']
[0.46999999999999997, u'detention remand imposed']
[0.46999999999999997, u'freedoms convention russian']
[0.46999999999999997, u'lawfulness applicant detention']
[0.46500000000000002, u'applicant deprivation liberty']
[0.46500000000000002, u'article 35 convention']
[0.46500000000000002, u'competent legal authority']
[0.46500000000000002, u'protection rights freedoms']
[0.46500000000000002, u'respect individual liberty']
[0.46000000000000002, u'application present case']
[0.46000000000000002, u'human rights building']
[0.46000000000000002, u'rights guaranteed convention']
[0.45500000000000002, u'50 art 50']
[0.45500000000000002, u'just satisfaction injured']
[0.45500000000000002, u'latvia lodged court']
