[1.084081741362965, 'partial reparation court']
[1.041850760922926, 'ukrainian government government']
[1.0413133595245452, 'allows partial reparation']
[1.030654400935632, 'ukraine lodged court']
[1.0236616742313975, 'procedure case originated']
[1.020097832947612, 'freedoms convention ukrainian']
[0.9873494640700179, 'high contracting party']
[0.982611871119975, 'court shall necessary']
[0.982611871119975, 'necessary afford just']
[0.982611871119975, 'afford just satisfaction']
[0.982611871119975, 'shall necessary afford']
[0.9764722272075018, 'fundamental freedoms convention']
[0.9670135080792572, 'detained accordance provisions']
[0.9603714264824158, 'established permanent abode']
[0.9603714264824158, 'imposed order ensure']
[0.9325554675165223, 'just satisfaction injured']
[0.9325554675165223, 'satisfaction injured party']
[0.9245775398427646, 'case originated application']
[0.9232706265170154, 'rights fundamental freedoms']
[0.9232706265170154, 'human rights fundamental']
[0.9194945685781674, 'convention protection human']
[0.9026792408182931, 'founded meaning article']
[0.8908843509488179, 'grounds declared admissible']
[0.8908843509488179, 'inadmissible grounds declared']
[0.8806405175746278, 'meaning article 35']
[0.8681424016231035, 'convention ukrainian national']
[0.8646979135610686, 'declared admissible merits']
[0.8494872833582447, 'trial reasonable time']
[0.845841000638807, 'release pending trial']
[0.8446161113735516, 'reasonable time release']
[0.8446161113735516, 'time release pending']
[0.8422598266726906, 'imposition preventive measures']
[0.8367316801337421, 'entitled trial reasonable']
[0.8104343584040616, 'lawfulness continued detention']
[0.8064404738748252, 'code criminal procedure']
[0.7965113345095964, 'notes inadmissible grounds']
[0.7944197352460566, 'complaint manifestly ill']
[0.7933882565330755, 'promptly judge officer']
[0.7843723600696755, 'testimony obstruct proper']
[0.7828894201793848, 'persistence reasonable suspicion']
[0.7817875742070662, 'non lawfulness continued']
[0.7807545756685068, 'convention notes inadmissible']
[0.7806026965495297, 'injured party damage']
[0.7799517347760415, '35 convention notes']
[0.7785439074098869, 'ukrainian national mr']
[0.7780112422796073, 'need continue detention']
[0.776690275718759, 'pending trial release']
[0.7699339956794722, 'ill founded meaning']
[0.766184472629429, 'qua non lawfulness']
[0.7644570531168471, 'conditioned guarantees appear']
[0.7644570531168471, 'release conditioned guarantees']
[0.7632612297496318, 'justify deprivation liberty']
[0.7626752241043033, 'guarantees appear trial']
[0.7617232459994306, 'authorised law exercise']
[0.7617232459994306, 'law exercise judicial']
