[0.9977262222561643, 'procedure case originated']
[0.9911426958497916, 'lodged court article']
[0.9634187445182307, '34 convention protection']
[0.9434529828109199, 'adduce evidence capable']
[0.9418620607438335, 'court article 34']
[0.9268526370723116, 'capable proving substantial']
[0.9268526370723116, 'proving substantial grounds']
[0.9208988521774394, 'protection human rights']
[0.9149053052800638, 'article 34 convention']
[0.9138356700989801, 'human rights fundamental']
[0.9110320783976145, 'fundamental freedoms convention']
[0.9090411187085335, 'convention protection human']
[0.9061713330261086, 'alleged violation article']
[0.896200720718365, 'degrading treatment punishment']
[0.8902203909580569, 'torture inhuman degrading']
[0.8819864213753833, 'subjected torture inhuman']
[0.8807082736532016, 'shall subjected torture']
[0.8787894288150042, 'grounds believing measure']
[0.8671825914174416, 'case originated application']
[0.8611504661931245, 'founded meaning article']
[0.8591136854007518, 'high contracting party']
[0.8517520215633423, 'convention provides court']
[0.8465463233624702, 'satisfaction injured party']
[0.8465463233624702, 'afford just satisfaction']
[0.8465463233624702, 'just satisfaction injured']
[0.8465463233624702, 'necessary afford just']
[0.8465463233624702, 'shall necessary afford']
[0.8465463233624702, 'court shall necessary']
[0.8430934054503849, 'risk subjected treatment']
[0.8376113148245155, 'exposed real risk']
[0.8360038563488889, 'allows partial reparation']
[0.8178724513378766, 'inadmissible grounds declared']
[0.8178724513378766, 'grounds declared admissible']
[0.8170433874977198, 'government government represented']
[0.8074885403482367, 'real risk subjected']
[0.8028714103192901, 'ill founded meaning']
[0.801493022234326, 'meaning article 35']
[0.7809192148198125, 'declared admissible merits']
[0.7647470124586829, 'discretion manner conform']
[0.7567744429855433, 'rule 39 rules']
[0.7567744429855433, '39 rules court']
[0.7350020038963652, 'interests parties proper']
[0.7246490036231883, 'human rights situation']
[0.7148942420681551, 'parties proper conduct']
[0.7122205900229, 'risk treatment contrary']
[0.7077046947238314, 'ii alleged violation']
[0.6999699989564855, 'substantial grounds shown']
[0.6999699989564855, 'grounds shown believing']
[0.6888343679868599, 'merits application time']
[0.6851215277777777, 'risk ill treatment']
[0.6848359391409367, 'article 27 convention']
[0.6784063721475524, 'article convention provides']
[0.6699259745127437, 'control entry residence']
[0.6668335432532422, 'complaint manifestly ill']
[0.6627560703386957, 'article 35 convention']
[0.6440053338268946, 'situation personal circumstances']
[0.643165170132325, 'rule admissibility merits']
[0.6395604171135011, 'substantial grounds believing']
[0.6385475047942722, 'human rights watch']
[0.6371936038747935, 'human rights practices']
[0.6351046262414459, 'code criminal procedure']
[0.633505849065868, 'government decided rule']
[0.629071271255572, 'manifestly ill founded']
[0.6277567545572916, 'convention substantial grounds']
[0.626847513003678, 'decided rule admissibility']
[0.6224566288284429, 'subject treaty obligations']
[0.6224566288284429, 'international law subject']
[0.6224566288284429, 'law subject treaty']
[0.6156034567245724, 'notes inadmissible grounds']
[0.6133545524507514, 'federation european court']
[0.6125334956219807, 'state convention substantial']
[0.6103678929765887, 'latvia lodged court']
[0.6093122903827034, '35 convention notes']
[0.6089851148565394, 'case applicant born']
[0.6084555941680602, 'incurred second necessary']
[0.6084555941680602, 'actually incurred second']
[0.6057260722548319, 'convention notes inadmissible']
[0.6043510419346539, 'court establish costs']
[0.6043098625319693, 'shown believing person']
[0.5996073439827436, 'treaty obligations including']
[0.5991847826086957, 'article requires things']
