[1.2461716444765463, 'procedure case originated']
[1.2419951633750035, 'government government represented']
[1.110286770583533, 'consequently law indicate']
[1.0502893177657981, 'section sitting chamber']
[1.0502893177657981, 'sitting chamber composed']
[1.0478511927300265, 'measure legal protection']
[1.0434998513585825, 'section registrar having']
[1.0413928072761767, 'rule 77 rules']
[1.0413928072761767, 'pursuant rule 77']
[1.0413928072761767, '77 rules court']
[1.0387287587063367, 'facts circumstances case']
[1.0376889824163542, 'date procedure case']
[1.0328211419303863, 'editorial revision case']
[0.9803027668499641, 'article 41 convention']
[0.9772218827042988, 'english notified writing']
[0.96464404405679, 'ill founded meaning']
[0.9635980708810632, 'having deliberated private']
[0.9569476174623704, 'delivers following judgment']
[0.9569418630599437, 'meaning article 35']
[0.951462514199167, 'alleged violation article']
[0.950143381798058, 'freedom expression right']
[0.9492558880907211, 'certain margin appreciation']
[0.9460431654676259, 'unfettered power consequently']
[0.9460431654676259, 'discretion granted executive']
[0.9460431654676259, 'power consequently law']
[0.9460431654676259, 'contrary rule law']
[0.9460431654676259, 'expressed terms unfettered']
[0.9460431654676259, 'terms unfettered power']
[0.9460431654676259, 'legal discretion granted']
[0.9460431654676259, 'defined convention requires']
[0.942622294146865, 'convention protection human']
[0.942622294146865, 'protection human rights']
[0.9425003996802558, 'national authorities justify']
[0.9376228197353117, 'exercise freedoms carries']
[0.9349362213979611, 'shall include freedom']
[0.9327311831399471, 'freedoms carries duties']
[0.9327311831399471, 'restrictions penalties prescribed']
[0.9327311831399471, 'subject formalities conditions']
[0.9327311831399471, 'penalties prescribed law']
[0.9327311831399471, 'carries duties responsibilities']
[0.9327311831399471, 'duties responsibilities subject']
[0.9327311831399471, 'responsibilities subject formalities']
[0.9300509211194301, 'include freedom hold']
[0.9300509211194301, 'right shall include']
[0.9295384205456148, 'ii relevant domestic']
[0.9251782934745657, 'expression right shall']
[0.9251782934745657, 'ideas interference public']
[0.9224291155311046, 'government represented agent']
[0.9217749081947612, 'freedom hold opinions']
[0.9215900007266914, 'provide accurate reliable']
[0.9169458613228363, 'opinions receive impart']
[0.9169458613228363, 'hold opinions receive']
[0.9116504706190263, 'impart information ideas']
[0.9110528777634844, 'conditions restrictions penalties']
[0.9101485499458031, 'information ideas interference']
[0.9080214984920729, 'protection reputation rights']
[0.9063048995095745, 'formalities conditions restrictions']
[0.9045640399320305, 'receive impart information']
[0.8961916202065572, 'violation article 10']
[0.8944694485096536, 'authority regardless frontiers']
[0.8944694485096536, 'public authority regardless']
[0.8906405142230043, 'authorities justify relevant']
[0.8858413269384491, 'doing court satisfy']
[0.8851100937431872, '10 convention ii']
[0.8827559030812359, 'notes inadmissible grounds']
[0.8810231461824473, 'convention notes inadmissible']
[0.8784908436886855, 'article 35 convention']
[0.8776637320364838, 'pressing social need']
[0.8580169357337096, 'article 10 journalists']
[0.8554980386011136, 'adopted date procedure']
[0.8530719130988915, 'exercising supervisory function']
[0.8466203781161118, 'rigorous european supervision']
[0.8364905708569239, 'safeguard afforded article']
[0.8336622072028939, 'law alleged violation']
[0.8335858487123345, 'justify relevant sufficient']
[0.8325089928057554, 'substance ideas information']
[0.8267017332589167, 'satisfy national authorities']
[0.8230751544124857, 'bank default period']
[0.8230751544124857, 'central bank default']
[0.822700532935085, 'mentioned date procedure']
[0.8218273865755881, 'restrictions political speech']
[0.8201084864797373, 'marginal lending rate']
[0.8201084864797373, 'european central bank']
[0.8201084864797373, 'equal marginal lending']
[0.8201084864797373, 'lending rate european']
[0.8201084864797373, 'rate european central']
[0.8136418596215464, 'construed strictly need']
[0.808832702624028, 'factual basis support']
[0.8034665702964634, 'high contracting party']
[0.8016443987667009, 'compelling reasons justify']
[0.8008975406475775, 'acceptable assessment relevant']
[0.8002780625436601, 'accurate reliable information']
[0.7965554164702207, 'court shall necessary']
[0.7965554164702207, 'shall necessary afford']
[0.7949390487609912, 'executive expressed terms']
[0.7949390487609912, 'granted executive expressed']
[0.7932136433710175, 'convention subject editorial']
[0.7920988069625355, 'afford just satisfaction']
[0.7920988069625355, 'necessary afford just']
[0.7888876081875618, 'interference prescribed law']
[0.787157329529962, 'assessment relevant facts']
[0.7848422108505332, 'satisfaction injured party']
[0.7848422108505332, 'just satisfaction injured']
[0.7839710374557497, '44 convention subject']
[0.7834308824127139, 'information expressed form']
[0.7834308824127139, 'expressed form conveyed']
[0.7834308824127139, 'ideas information expressed']
[0.7799118451717498, 'assessing need exists']
[0.7794993513386014, 'maintaining authority impartiality']
[0.7792961218306341, 'standards conformity principles']
[0.7727620312673055, 'subject editorial revision']
[0.7727296423730581, 'sufficient 26 april']
[0.7708771444382955, 'supervisory function place']
[0.7691261297966099, 'authority impartiality judiciary']
[0.7664780309643501, 'protects substance ideas']
[0.7656194803744554, 'allows partial reparation']
[0.763407455853499, 'issues general subject']
[0.763407455853499, 'journalists relation reporting']
[0.7572775143243361, 'reputation rights preventing']
[0.7466017358103688, 'legitimate aim pursued']
[0.7450847402885772, 'court considers appropriate']
[0.7431911613566291, 'ill treatment attain']
[0.7423346421915009, 'meaning article 10']
[0.738074234780028, 'final ruling restriction']
[0.7363043446925471, 'task exercising supervisory']
[0.7323021582733813, 'public authorities rights']
[0.7310158800223552, 'final article 44']
[0.7310158800223552, 'judgment final article']
[0.7245963994354755, 'paragraph necessary democratic']
[0.7243188406943495, 'article 11 convention']
[0.7237747217192232, 'human rights building']
[0.7237747217192232, 'rights building strasbourg']
[0.7235872235872236, 'paragraph article 10']
[0.7153246195445271, 'proportionate legitimate aim']
[0.7114625270330721, 'decisions taken pursuant']
[0.7103960616293606, 'court court empowered']
[0.7083634821803032, 'commission human rights']
[0.7082654054140279, 'foundations democratic society']
[0.6981670714383906, 'judgment adopted date']
[0.6957050163683767, 'reconcilable freedom expression']
[0.6913603263730479, 'determining necessity meaning']
[0.6913603263730479, 'states limited margin']
[0.6892854648320178, 'freedom peaceful assembly']
[0.6879316466790996, 'legislation decisions applying']
[0.6866167780061665, 'matters public concern']
[0.6852330635491607, 'inherent exercise freedom']
[0.6845066285681134, 'decided rule admissibility']
[0.6845066285681134, 'rule admissibility merits']
[0.6843726812272155, 'european commission human']
[0.6825718372670285, 'accordance ethics journalism']
[0.6814316356940833, 'hand european supervision']
[0.6813719592887563, 'aim pursued reasons']
[0.6809110477170528, 'forth article 10']
[0.6787070343725019, 'fulfil infringes freedom']
[0.6770298047276464, 'religious freedom primarily']
[0.6770298047276464, 'freedom primarily matter']
[0.6751348920863309, 'official gazette republic']
[0.6737312852420766, 'interferences public authorities']
[0.6737312852420766, 'arbitrary interferences public']
[0.6735311350385647, 'information accordance ethics']
[0.6724137931034482, 'proof requirement prove']
[0.6724137931034482, 'susceptible proof requirement']
[0.6721895211103843, 'reliable information accordance']
[0.6687210231814549, 'government decided rule']
[0.6681780943404481, 'embracing legislation decisions']
[0.6681780943404481, 'supervision embracing legislation']
[0.6618736925353333, 'responsibilities inherent exercise']
[0.6608371828852707, 'applicable information ideas']
[0.6594085193316286, 'offend shock disturb']
[0.6583932853717027, 'overstep certain bounds']
[0.6567265271752064, 'responsibilities information ideas']
[0.6566740278663147, 'determine reasons adduced']
[0.656435306946477, 'court unanimously declares']
[0.6560736729645081, 'independent court court']
[0.6540898942288176, 'good faith order']
[0.6526442531127156, 'favourably received regarded']
[0.6526442531127156, 'ideas favourably received']
[0.6526442531127156, 'received regarded inoffensive']
[0.6520364353678347, 'freedom expression protected']
[0.6492438702099544, 'limits acceptable criticism']
[0.6479027304472211, 'allow unduly influenced']
[0.6479027304472211, 'court allow unduly']
[0.6479027304472211, 'unduly influenced considerations']
[0.6444206337058014, 'duties responsibilities inherent']
[0.6420689655172415, 'judgment impossible fulfil']
[0.6419093296791138, 'essential foundations democratic']
[0.6378896882494004, 'depends circumstances case']
[0.6378896882494004, 'treatment attain minimum']
[0.6378896882494004, 'attain minimum level']
[0.6373950839328538, '10 protects substance']
[0.6372020503767307, 'expression protected article']
[0.6353069853729999, 'duty impart manner']
[0.6343124552490709, 'french delivered public']
[0.6331674886538109, 'final accordance article']
[0.6331674886538109, 'judgment final accordance']
[0.6323188640099158, 'vital role public']
[0.6321058523200416, 'holds violation article']
[0.6319214291488158, 'impart manner consistent']
[0.6318949623083518, 'information ideas favourably']
[0.6311966725756499, 'information ideas matters']
[0.6300399791587343, 'decisions applying given']
[0.6293436749544769, 'human rights commission']
[0.6286836006759491, 'faith order provide']
[0.6286836006759491, 'order provide accurate']
[0.6270983213429256, 'margin appreciation doing']
[0.625170512940297, 'accordance article 44']
[0.6248093098384085, 'given independent court']
[0.6202548599418338, 'expression safeguard afforded']
[0.6195359626787881, 'english french delivered']
[0.6173815601896364, 'contracting states certain']
[0.6138973768252896, 'ideas matters public']
[0.6121316621916142, 'review article 10']
[0.6119639844572714, '10 convention holds']
[0.6115424840744145, 'acting good faith']
[0.6067482552419602, 'states certain margin']
[0.6062204839556015, 'constitutes essential foundations']
[0.6038715419417043, 'sufficient factual basis']
[0.6018441061104605, 'regarded inoffensive matter']
[0.6018441061104605, 'inoffensive matter indifference']
[0.6006166495375128, 'jurisdiction rights freedoms']
[0.6006166495375128, 'secure jurisdiction rights']
[0.6004802381176715, 'pluralism tolerance broadmindedness']
[0.5999472427744335, 'interference necessary democratic']
[0.596234151999251, 'role public watchdog']
[0.5947537736060406, 'indifference offend shock']
[0.5947537736060406, 'matter indifference offend']
[0.5937890428917572, 'just satisfaction english']
[0.5937145020825445, 'impartiality regarded objectively']
[0.5937145020825445, 'independence impartiality regarded']
[0.5896218409887475, 'taken pursuant power']
[0.5867805755395683, 'including given independent']
[0.5867805755395683, 'strictly convincing compelling']
[0.5861727284838796, 'public right receive']
[0.5849680504043969, 'complained light case']
[0.5849680504043969, 'interference complained light']
[0.5811658908167583, 'right freedom peaceful']
[0.5809127697841727, 'ideals values democratic']
[0.5782765092274006, 'breach article 11']
[0.5772813328284739, '10 11 convention']
[0.5766296054065838, 'legal protection arbitrary']
[0.5747913567612329, 'tolerance broadmindedness democratic']
[0.5747913567612329, 'broadmindedness democratic society']
[0.5740816437758883, 'exercise rights prescribed']
[0.5707893958805559, 'demands pluralism tolerance']
[0.5702104982680523, 'basic principles democratic']
[0.5702104982680523, 'rule law basic']
[0.5698019981227562, 'applying given independent']
[0.5690187575966624, 'protection rights freedoms']
[0.5655945831570037, 'basically prohibits government']
[0.5592558919897049, 'respect reputation rights']
[0.556604359369647, 'pursuant power appreciation']
[0.5562402190923318, 'holds respondent state']
[0.5556992937759884, 'morals protection rights']
[0.555135829010505, 'reasons court unanimously']
[0.5542018397665768, '62 series 30']
[0.5540798704320127, 'article shall prevent']
[0.5525126696672219, 'relative depends circumstances']
[0.5488187998777657, 'amounts rate equal']
[0.5488187998777657, 'payable amounts rate']
[0.5483941418293936, 'prohibits government restricting']
[0.5483941418293936, 'restricting person receiving']
[0.5483941418293936, 'government restricting person']
[0.547536654220927, 'pursued reasons given']
[0.5466901988613191, 'present case court']
[0.5457851110416015, '11 convention holds']
[0.5442046362909673, '10 convention reads']
[0.5419240181217833, 'set forth article']
[0.5417819590481461, 'rights prescribed law']
[0.5405493786788751, 'right journalists disclose']
[0.539798593466608, 'society set forth']
[0.5369492375129081, 'article 10 freedom']
[0.5360715956088307, 'expression constitutes essential']
[0.5360715956088307, 'freedom expression constitutes']
[0.5344518531370678, 'manifestly ill founded']
[0.5330935251798561, 'effects cases sex']
[0.5330935251798561, 'physical mental effects']
[0.5330935251798561, 'severity fall scope']
[0.5330935251798561, 'state health victim']
[0.5330935251798561, 'case duration treatment']
[0.5330935251798561, 'cases sex age']
[0.5330935251798561, 'circumstances case duration']
[0.5330935251798561, 'duration treatment physical']
[0.5330935251798561, 'level severity fall']
[0.5330935251798561, 'mental effects cases']
[0.5330935251798561, 'treatment physical mental']
[0.5322979519610118, 'existence facts demonstrated']
[0.5295763389288569, 'minimum level severity']
[0.5289010171173406, 'law refer quality']
[0.5289010171173406, 'refer quality law']
[0.5289010171173406, 'domestic law refer']
[0.5274364100051228, 'subject exceptions construed']
[0.5260791366906474, 'official gazette socialist']
[0.5260791366906474, 'gazette socialist federal']
[0.5260791366906474, 'socialist federal republic']
[0.5228595581307293, 'acceptable criticism wider']
[0.5182388768413615, 'degree exaggeration provocation']
[0.5165867306155075, 'taken pursuant margin']
[0.5164321472381015, 'appeared court government']
[0.5157207567279509, '03 23676 03']
[0.5157207567279509, '3002 03 23676']
[0.5155358471843214, 'assessing proportionality interference']
[0.5150662079032425, 'look interference complained']
[0.5128705462226664, 'public human rights']
[0.5123074315416776, 'opinions annexed judgment']
[0.5121654888478598, 'restrictions shall placed']
[0.5121654888478598, 'shall placed exercise']
[0.5117805755395683, 'audience obligations deriving']
[0.5117805755395683, 'level rights needs']
[0.5117805755395683, 'rights needs specific']
[0.5117805755395683, 'needs specific audience']
[0.5117805755395683, 'specific audience obligations']
[0.5117805755395683, 'audience national regional']
[0.5117805755395683, 'obligations deriving international']
[0.5117805755395683, 'potential audience national']
[0.5117805755395683, 'regional local level']
[0.5117805755395683, 'local level rights']
[0.5108511310074197, 'imparting information ideas']
[0.5107309110694638, 'legitimate aims set']
[0.5084749991485399, 'legitimate aim protection']
[0.5076748317944834, 'facts demonstrated truth']
[0.5076748317944834, 'demonstrated truth value']
[0.5063641394576647, 'rule courts assess']
[0.5063641394576647, 'general rule courts']
[0.5059779514517883, 'judgment factual basis']
[0.50574207300826, 'function place national']
[0.5057385909454255, 'violation article 11']
[0.5027507405840034, 'person receiving information']
[0.5027507405840034, 'sufficiently strong clear']
[0.5027507405840034, 'clear concordant inferences']
[0.5, '30 june 2004']
[0.5, '16 june 2004']
[0.4990503597122303, 'play vital role']
[0.4990136922719889, 'reputation rights meaning']
[0.4989797399748362, 'light case decisions']
[0.4989797399748362, 'case decisions taken']
[0.4985736229975862, 'court heard addresses']
[0.49831098551171665, 'ideas public right']
[0.496442562262247, 'basis support excessive']
[0.4960833964407421, 'adopted mentioned date']
[0.4960833964407421, 'judgment adopted mentioned']
[0.4958485640637288, 'information ideas public']
[0.4946043165467626, 'human rights requirements']
[0.49292179159897886, 'investigation capable leading']
[0.49292179159897886, 'leading identification punishment']
[0.49292179159897886, 'identification punishment responsible']
[0.49292179159897886, 'capable leading identification']
[0.4903222702394849, 'turkey european court']
[0.48939626459984836, 'frontiers article shall']
[0.48827970590560515, 'domestic courts general']
[0.48787342275039514, 'judgments existence facts']
[0.48787342275039514, 'value judgments existence']
[0.48746145940390545, 'wish willing impart']
[0.4839533967231809, 'impugned statement value']
[0.48394910865565915, 'republic turkey lodged']
[0.48326499150533797, 'light case including']
[0.48243378666817316, 'exercise freedom expression']
[0.48157101253981327, 'common ground parties']
[0.4787023862144466, 'freedom expression guaranteed']
[0.477580726116781, '11 unless prescribed']
[0.477580726116781, 'article 11 unless']
[0.4765467625899281, 'serbia judgment strasbourg']
[0.4765467625899281, 'agent mr cari\\u0107']
[0.4765467625899281, 'gazette republic serbia']
[0.4748201438848921, 'article 10 unless']
[0.4729967881474249, 'freedoms convention russian']
[0.4719323133042862, 'regarded objectively justified']
[0.4715375362336892, 'task imparting information']
[0.4709095109233714, 'application manifestly ill']
