[1.5194805194805194, 'able foresee consequences']
[1.4718764640842563, 'treaty obligations control']
[1.4718764640842563, 'obligations control entry']
[1.4685440679812163, 'court article 34']
[1.45700084292986, '34 convention protection']
[1.4564212713692932, 'procedure case originated']
[1.4523001736742196, 'concerned able foresee']
[1.4414943143730437, 'lodged court article']
[1.4363265306122448, 'code execution criminal']
[1.4047619047619047, 'legitimate aims referred']
[1.373856439127375, 'refers quality law']
[1.3559862333559014, 'case duration treatment']
[1.3559862333559014, 'circumstances case duration']
[1.3544973544973544, 'duration treatment physical']
[1.344155844155844, 'execution criminal sentences']
[1.303593760736618, 'measure basis domestic']
[1.2989200288410296, 'aims referred paragraph']
[1.2843537414965986, 'impugned measure basis']
[1.2825396825396824, 'judged swiftness implementation']
[1.2792073351079565, 'poland concerning protection']
[1.277587370826193, 'person concerned able']
[1.2759548527151776, 'cases sex age']
[1.2759548527151776, 'effects cases sex']
[1.2599510795692495, 'treatment physical mental']
[1.257373737373737, 'say justified pressing']
[1.2524489795918368, 'accessible person concerned']
[1.2514073596117736, 'government government represented']
[1.2506222501055875, 'adequacy measure judged']
[1.2506222501055875, 'measure judged swiftness']
[1.2462935240543571, 'editorial revision case']
[1.2270488132557098, 'quality law question']
[1.2232744214311035, 'mental effects cases']
[1.2007342619587518, 'persons detained remand']
[1.200518302559119, 'state health victim']
[1.193337252596512, 'facts circumstances case']
[1.1918638102006973, 'compatible rule law']
[1.1729552378720411, 'physical mental effects']
[1.1700046412327114, '77 rules court']
[1.169165120593692, 'society say justified']
[1.169165120593692, 'democratic society say']
[1.1659177706170187, 'rule 77 rules']
[1.1618379281537174, 'pursuant rule 77']
[1.1594094201915657, 'sphere relations individuals']
[1.1525519298628542, 'pursues legitimate aims']
[1.1359032501889645, 'treatment attain minimum']
[1.1350466112370874, 'benefit direct contact']
[1.133692365835223, 'necessarily actually incurred']
[1.1330160944740646, 'sitting chamber composed']
[1.1274283071230342, 'section registrar having']
[1.1153958697988913, 'respect family life']
[1.1133669791125367, 'subject editorial revision']
[1.1054484873726858, 'interests safeguarded individual']
[1.1054484873726858, 'safeguarded individual article']
[1.1033597112314317, 'remand centre prevent']
[1.1033597112314317, 'order security remand']
[1.1033597112314317, 'maintain order security']
[1.1033597112314317, 'provided present chapter']
[1.1033597112314317, 'sentence imprisonment ordinary']
[1.1033597112314317, 'applied necessary secure']
[1.1033597112314317, 'exceptions provided present']
[1.1033597112314317, 'shall applied necessary']
[1.1019908422505826, 'law question requiring']
[1.099125364431487, 'interfere right protected']
[1.0970878882298767, 'section sitting chamber']
[1.0959939531368104, 'determined independent tribunal']
[1.0959939531368104, 'independent tribunal light']
[1.0959939531368104, 'measure determined independent']
[1.0959939531368104, 'tribunal light relevant']
[1.0906476411702892, 'foresee consequences compatible']
[1.0906476411702892, 'consequences compatible rule']
[1.0904968047825192, 'involve adoption measures']
[1.0903374181401928, 'meaning article 35']
[1.0901724326094073, 'secure respect private']
[1.0896527646038363, 'founded meaning article']
[1.0873262348417627, 'security remand centre']
[1.076795162509448, 'maintaining contact close']
[1.075, 'designed secure respect']
[1.06862063974526, 'minimum level severity']
[1.0602805982820058, 'limitations private family']
[1.0545935545935545, 'article does entail']
[1.0545935545935545, 'does entail general']
[1.0545935545935545, 'entail general obligation']
[1.0545935545935545, 'general obligation state']
[1.0545935545935545, 'persons residing vary']
[1.0545935545935545, 'reunion territory case']
[1.04677509950414, 'mentioned months settlement']
[1.0448449672826403, 'balance struck competing']
[1.03957441635225, 'article 35 convention']
[1.032931030565846, 'default period plus']
[1.029802397149336, 'imprisonment ordinary regime']
[1.0274943310657596, 'central bank default']
[1.0274943310657596, 'period plus percentage']
[1.0271805143303008, 'date procedure case']
[1.0249992015585578, 'relative depends circumstances']
[1.0220019631784338, 'respect interests safeguarded']
[1.0170674025663258, 'law refers quality']
[1.0152352157794335, 'subject treaty obligations']
[1.0148580577489732, 'best interests child']
[1.0141768562821192, 'ill treatment attain']
[1.0105269518975104, 'obligations involve adoption']
[1.0075154869343734, 'struck competing interests']
[1.004564983888292, 'control entry residence']
[1.0016435902983103, 'society order achieve']
[0.996940109377084, 'right respect private']
[0.9836025112993043, 'family life essential']
[0.9801749271137026, 'right respect family']
[0.9784580498866214, 'incurred reimbursed article']
[0.9742857142857144, 'immigrants choice country']
[0.9742857142857144, 'respect immigrants choice']
[0.9686318972033257, 'national authorities benefit']
[0.9671028716830243, 'exercise power appreciation']
[0.9665532879818595, 'boundaries state positive']
[0.9641548927263215, 'law pursues legitimate']
[0.9632034632034633, 'international law subject']
[0.9571966243542089, 'life obligations involve']
[0.9563039939902341, 'fair balance struck']
[0.9538256462957376, 'attain minimum level']
[0.9529918244551651, 'declared admissible merits']
[0.9500008654861438, 'justified pressing social']
[0.9499073769014155, '44 convention subject']
[0.948073216430371, 'convention subject editorial']
[0.9476190476190475, 'level severity relative']
[0.9452152153234176, 'having deliberated private']
[0.9428326415311887, 'convention protection human']
[0.9428326415311887, 'protection human rights']
[0.9428326415311887, 'human rights fundamental']
[0.9393197278911564, 'concerning protection human']
[0.9367300352216058, 'government represented agent']
[0.9336590293389806, 'inadmissible grounds declared']
[0.9336590293389806, 'grounds declared admissible']
[0.9299619218756686, 'right respect correspondence']
[0.9259273656552569, 'law subject treaty']
[0.9257117096963351, 'positive obligations inherent']
[0.9230628278247328, 'irremediable consequences relations']
[0.922531471060185, 'inherent effective respect']
[0.9213444381990085, 'registrar having deliberated']
[0.9212794244682, 'wide margin appreciation']
[0.9211487550685299, 'liberty entails inherent']
[0.9211487550685299, 'person liberty entails']
[0.9211487550685299, 'entails inherent limitations']
