[1.5686551159771995, 'acts security forces']
[1.5531630048546117, 'refers quality law']
[1.3888193784094889, 'quality law question']
[1.303177922872883, 'law refers quality']
[1.2584948401711553, 'concerned able foresee']
[1.2464555780205646, 'law question requiring']
[1.2188185274205443, 'compatible rule law']
[1.2092543471853816, 'relevant principles article']
[1.2007528313723765, '34 convention protection']
[1.1806115272478757, 'lodged court article']
[1.1725120345810003, 'court article 34']
[1.1410856178967348, 'procedure case originated']
[1.1406254443668622, 'right respect private']
[1.1403906438389197, 'created time persons']
[1.1294184463074473, 'person concerned able']
[1.123757468585055, 'secure respect private']
[1.1079610045127286, 'impugned measure basis']
[1.0931412608684772, 'accessible person concerned']
[1.0775862068965516, 'ties contracting state']
[1.077478062534168, 'government government represented']
[1.0595321903859776, 'measure basis domestic']
[1.0559172628138145, 'obligation state respect']
[1.0559172628138145, 'state respect immigrants']
[1.0559172628138145, 'does entail general']
[1.0559172628138145, 'entail general obligation']
[1.0559172628138145, 'general obligation state']
[1.0559172628138145, 'country residence authorise']
[1.0559172628138145, 'factors immigration control']
[1.0559172628138145, 'immigration law considerations']
[1.0559172628138145, 'ruptured extent ties']
[1.0512753669687978, 'law necessary democratic']
[1.0512753669687978, 'necessary democratic society']
[1.0444297082228118, 'respect home based']
[1.0435438894410403, 'sphere relations individuals']
[1.0390958258490648, 'accordance law necessary']
[1.0363869681012976, 'right accordance law']
[1.0363869681012976, 'exercise right accordance']
[1.0337248957938612, 'maintain order security']
[1.0337248957938612, 'applied necessary secure']
[1.0337248957938612, 'shall applied necessary']
[1.0337248957938612, 'order security remand']
[1.0337248957938612, 'remand centre prevent']
[1.0306145004420868, 'independent tribunal light']
[1.0306145004420868, 'tribunal light relevant']
[1.0306145004420868, 'measure determined independent']
[1.0306145004420868, 'determined independent tribunal']
[1.0306145004420868, 'principle able proportionality']
[1.0277937954099874, 'security remand centre']
[1.0277937954099874, 'poland concerning protection']
[1.0204653770675638, 'treaty obligations control']
[1.0204653770675638, 'obligations control entry']
[1.0099413103365673, 'notion private life']
[1.0052866195107575, 'domestic law refers']
[0.995579133510168, 'persons residing vary']
[0.995579133510168, 'residing vary according']
[0.995579133510168, 'extent state obligations']
[0.995579133510168, 'relatives persons residing']
[0.995579133510168, 'state obligations admit']
[0.995579133510168, 'obligations admit territory']
[0.995579133510168, 'reunion territory case']
[0.995579133510168, 'territory case concerns']
[0.995579133510168, 'article does entail']
[0.995579133510168, 'territory relatives persons']
